summer,winter,name,fall,spring,number,description
 , ,Seminar in Bayesian Statistical Methodology, , ,AMS280D,"[u'Weekly seminars/discussion group on Bayesian Statistical methods, covering both analytical and computational approaches. Participants present research progress and findings in semi-formal discussions. Students must present their own research on a regular basis. Enrollment restricted to graduate students. May be repeated for credit. A. Rodriguez', u'2 Credits']"
 , ,Topics in Mathematical and Computational Biology,[u'Section 01'], ,AMS290A,"[u'Focuses on applications of mathematical and computational methods with particular emphasis on advanced methods applying to organismal biology or resource management. Students read current literature, prepare critiques, and conduct projects. Enrollment restricted to graduate students. Enrollment limited to 20. May be repeated for credit. M. Mangel', u'5 Credits']"
 ,[u'Section 01'],Seminars in Statistical and Applied Mathematical Modeling,[u'Section 01'],[u'Section 01'],AMS280B,"[u'Weekly seminar series covering topics of current research in applied mathematics and statistics. Permission of instructor required. Enrollment restricted to graduate students. (Formerly ""Seminar in Applied Mathematics and Statistics"") May be repeated for credit. The Staff', u'2 Credits']"
 ,[u'Section 01'],Seminar in Geophysical & Astrophysical Fluid Dynamics,[u'Section 01'],[u'Section 01'],AMS280C,"[u'Weekly seminars/discussion group on geophysical and astrophysical fluid dynamics, covering both analytical and computational approaches.  Participants present research progress and findings in semi-formal discussions.  Students must present their own research on a regular basis.  Enrollment restricted to graduate students. May be repeated for credit. N. Brummell, P. Garaud', u'2 Credits']"
 ,[u'Section 01'],Seminar in Mathematical and Computational Biology, ,[u'Section 01'],AMS280A,"[u'Weekly seminar on mathematical and computational biology. Participants present research findings in organized and critical fashion, framed in context of current literature. Students present own research on a regular basis. Enrollment restricted to graduate students. Enrollment limited to 20. May be repeated for credit. M. Mangel', u'2 Credits']"
 , ,Thesis Research, , ,TIM299,"[u'Thesis research under faculty supervision. Students submit petition to sponsoring agency. Enrollment restricted to graduate students.', u'5 Credits']"
 , ,Generalized Linear Models, ,[u'Section 01'],AMS274,"[u'Theory, methods, and applications of generalized linear statistical models; review of linear models; binomial models for binary responses (including logistical regression and probit models); log-linear models for categorical data analysis; and Poisson models for count data. Case studies drawn from social, engineering, and life sciences. Prerequisite(s): course 205A, 205B, or 256. Enrollment restricted to graduate students. A. Kottas', u'5 Credits']"
 , ,Independent Study, , ,TIM297,"[u'Independent study under faculty supervision. Students submit petition to sponsoring agency. Enrollment restricted to graduate students. May be repeated for credit.  The Staff', u'1 Credits']"
 , ,Advanced Topics in Technology & Information Management, , ,TIM293,"[u'Advanced research topics in TIM (as determined by instructor). Topics include, but are not limited to, approaches and solutions to complex business problems, and development of information-based technology and services.  Enrollment restricted to graduate students.  Enrollment limited to 25.  May be repeated for credit.  P. Mantey, The Staff', u'5 Credits']"
 , ,Seminar Topics, , ,TIM280S,"[u'Weekly seminar series of current research on a special topic in information systems and technology management. The theme of research presented throughout the course selected by the instructor. Topics may include, but are not limited to, knowledge planning, new product development and management of technology. Enrollment with permission of instructor. Enrollment limited to 30. May be repeated for credit. P. Mantey', u'2 Credits']"
 , ,Graduate Research Seminar, ,[u'Section 01'],TIM280A,"[u'Weekly seminar series in topics of current research in information systems and technology management. Enrollment by permission of instructor. Enrollment limited to 30. May be repeated for credit. The Staff', u'2 Credits']"
 , ,Sales and Marketing for Technologists and Engineers, , ,TIM280M,"[u'Perspective on the theory, plus examples, and tools useful to technologists and engineers for successfully guiding and supporting sales and marketing endeavors and, thereby, ensuring funding, staffing, product appeal, positive customer relationships, and marketplace success.  P. Mantey, The Staff', u'2 Credits']"
 , ,Seminar on Information Retrieval and Knowledge Management, , ,TIM280I,"[u'Seminar series discussing advanced topics in information retrieval and knowledge management. Current research and literature are presented during each meeting. Enrollment restricted to graduate students. Enrollment limited to 20. May be repeated for credit. Y. Zhang', u'2 Credits']"
 , ,Service Engineering and Management, ,"[u'Section 01', u'Section 50']",TIM270,"[u'Introduction to service engineering and management, from the role of services in the global economy to analytical models in service operations management. This field is developing rapidly; the material covers the fundamental principles of services as well as recent research. Topics include designing efficient service networks, forecasting, resource allocation, and globalization. Enrollment restricted to graduate students. K. Ross, The Staff', u'5 Credits']"
 , ,Information Retrieval,[u'Section 01'], ,TIM260,"[u'Course covers major topics of information retrieval, including statistical characteristics of text, several important retrieval models, text clustering, text classification, text filtering, web analysis, information extraction, peer to peer research, distributed search, personalized search, and other related topics. Enrollment restricted to graduate students. Undergraduates may enroll with permission of instructor. Y. Zhang', u'5 Credits']"
 ,"[u'Section 01', u'Section 50']",Large-Scale Web Analytics and Machine Learning, , ,TIM251,"[u'Provides a systematic methodology and corresponding set of methods and analytical tools in stochastic models; reinforcement learning; stochastic (neuro-)dynamic programming; Bayesian graphical models; inference; and social networks used for web analytics and machine learning to achieve business intelligence (BI) and support research and applications in computer science, computer engineering, and electrical engineering, applied mathematics and statistics, business, management, and economics. Includes exposure to Hadoop for large-scale computation. Students should have solid background in probability equivalent to statistics, stochastic, methods, calculus, (and preferably) stochastic processes and optimization, or mathematical maturity and exposure to business intelligence and algorithms. (Formerly Information Systems and Technology Management 2.) Prerequisite(s): Computer Engineering 107 or Applied Mathematics and Statistics 131, or other undergraduate probability course recommended, or permission of instructor. Enrollment restricted to graduate students. AMS 205B, CMPE 230, and course ISM 250 recommended.  R. Akella', u'5 Credits']"
 , ,Stochastic Optimization in Business Intelligence: Digital Advertising and Online Marketing, ,"[u'Section 01', u'Section 50']",TIM250,"[u'Trains students in stochastic optimization and other algorithmic approaches, such as stochastic dynamic programming, to achieve business intelligence (BI) optimization. Special emphasis on digital advertising, and online and computational marketing. Students should have solid background in: probability equivalent to statistics, stochastic methods, calculus, liner algebra, mathematical maturity, stochastic processes, and optimization. First of a sequence of courses in information systems and technology management (ISTM). Provides students with systematic methodology and corresponding set of methods and analytical tools to address the field of ISTM in an integrated manner. (Formerly Stochastic Optimization in Information Systems and Technology.)Enrollment restricted to graduate students; undergraduates may enroll if they have completed Computer Engineering 107 or Applied Mathematics or Statistics 131 or have permission of instructor. Applied Mathematics or Statistics 205A and Computer Engineering 230 are recommended. R. Akella', u'5 Credits']"
 , ,Data Mining, ,"[u'Section 01', u'Section 50']",TIM245,"[u'Covers the principles, algorithms, and applications of data mining, including mining sequential data, structured data, stream data, text data, spatiotemporal data, biomedical data, and other forms of complex data. Enrollment restricted to graduate students. Y. Zhang, R. Akella', u'5 Credits']"
 , ,Financial Engineering and Management in High Technology Firms, , ,TIM230,"[u'Course provides students with a systematic methodology, and the corresponding set of methods and analytical tools, to address the field of financial engineering and its use in high-tech enterprises in an integrated manner. Covers basic concepts of stochastic optimization and other algorithmic approaches, such as stochastic dynamic programming; decision models and analysis; and binomial trees; and their application in financial engineering in the context of high-tech enterprises.  Prerequisite(s):  Computer Engineering 107 or Economics 113 or Applied Mathematics and Statistics 131 or by consent of instructor.', u'5 Credits']"
 ,"[u'Section 01', u'Section 50']",Management of Technology II, , ,TIM225,"[u'High technology enterprises must understand and operate effectively within their technology-business value chains in order to maximize profitability. Course develops and applies methods and tools for the design, optimization, selection, and management of these value chain networks. Students cannot receive credit for this course and course 125. Prerequisite(s): course 205 or consent of instructor. Enrollment restricted to juniors, seniors, and graduate students. R. Akella, S. Desa', u'5 Credits']"
 , ,Information Technology for Decision Support: an Introduction, , ,TIM240,"[u'Introduction to the information technologies useful to IT management. Reviews/surveys four major topics: 1) information systems: from computer technology - systems architecture (hardware and software), multiprocessors and cluster - to client-server, networking and distributed computing, data storage and data servers, file management, database systems, input/output technology, graphics and multimedia; 2) IT as a ""service"": commercial and open-course tools for information-system development and knowledge management; 3) managing, searching, and mining of structured and unstructured data; 4) decision-support systems that integrate knowledge with data mining and text mining tools to support decision-making in product development, supply-chain management, marketing, sales and logistics.  Enrollment restricted to graduate students.  The Staff, Y. Zhang, P. Mantey', u'5 Credits']"
 , ,Organizations and Leadership,"[u'Section 01', u'Section 50']", ,TIM215,"[u'Addresses organizational and managerial aspects of high-tech enterprises, providing an understanding of various corporate functions. Considers issues of human resources: motivation and rewards, group dynamics, communication, ethics, and leadership. Includes perspectives from behavioral theories and corporate practice/culture. Enrollment restricted to graduate students. P. Mantey', u'5 Credits']"
 , ,E-Business Technology and Strategy, , ,TIM211,"[u'Surveys structure of modern information technology, the relation of that structure to structure of the industry that creates it, and the economic forces that drive the players in the industry. Building on these technological and economic concepts, studies how firms can craft a technology and business strategy to create and capture value in the information technology product and/or services sectors. Enrollment restricted to graduate students. J. Musacchio', u'5 Credits']"
 , ,Marketing Analytics and Engineering, , ,TIM210,"[u'Provides students with a systematic methodology and the corresponding set of methods and analytical tools to address the analytic approaches to marketing in a real-world context. Trains students in the basic elements of statistics decision trees, stochastic optimization, and other algorithmic approaches. Students should have a solid background in the following: probability equivalent to statistics, stochastic methods, calculus, linear algebra, stochastic processes and optimization, and/or mathematical maturity. Recommended courses:  course 207, course 250, Applied Mathematics and Statistics 203,  Applied Mathematics and Statistics 205, Computer Engineering 230. Enrollment restricted to graduate students.  Pre-requisite(s):  permission of instructor.  R. Akella', u'5 Credits']"
 ,"[u'Section 01', u'Section 50']",Data Mining and Business Analytics in Knowledge Services, , ,TIM209,"[u'Provides students with systematic methodology and analytical tools in data and text mining and business analytics. Also provides an integrated perspective and examines use of these methods in the field of knowledge services, such as online marketing, sponsored search, health care, financial services, recommender systems, etc. Includes training in the basic elements of stochastic optimization and other algorithmic approaches, such as stochastic dynamic programming, statistics, constrained optimization, and machine learning with exposure to software tools. These methods enable firms to achieve rapid, effective, and profitable optimization of knowledge-services management.  (Formerly Knowledge Services and Data Analytics.) Enrollment restricted to graduate students. Students are expected to have undergraduate preparation in probability and statistics. Undergraduates may enroll with instructor approval.  R. Akella', u'5 Credits']"
 , ,Random Process Models in Engineering, ,"[u'Section 01', u'Section 50']",TIM207,"[u'A first graduate course in stochastic process modeling and analysis with an emphasis on applications in technology management, information systems design, and engineering. Enrollment restricted to graduate students. Prerequisite: Computer Engineering 107 or other undergraduate probability course recommended. J. Musacchio', u'5 Credits']"
 , ,Management of Technology I,"[u'Section 01', u'Section 50']", ,TIM205,"[u'Addresses technological, strategic, marketing, financial methods, and analytical tools for management of technology in an integrated manner that enables the cost-effective and rapid development of profitable and high quality technologies. Includes case studies and a comprehensive project. Students cannot receive credit for this course and course 105. Enrollment restricted to juniors, seniors, and graduate students. R. Akella, S. Desa', u'5 Credits']"
 , ,New Product Development, , ,TIM208,[]
 ,"[u'Section 01', u'Section 50']",Optimization Theory and Applications, , ,TIM206,"[u'A first graduate course in optimization with an emphasis on problems arising in management and engineering applications. Objectives are to become experts in problem formulation, comfortable with software for solving these problems, and familiar with analytical methods behind these solver technologies. Prerequisite(s): calculus and linear algebra. Enrollment restricted to graduate students. K. Ross, S. Desa', u'5 Credits']"
 , ,Individual Study or Research, , ,TIM198F,"[u'Intended for majors. Students submit petition to sponsoring agency. May be repeated for credit. The Staff', u'2 Credits']"
 , ,Individual Study or Research, , ,TIM199,"[u'Individual directed study for upper-division undergraduates. Students submit petition to sponsoring agency. Enrollment restricted to senior information systems management majors. May be repeated for credit. The Staff', u'5 Credits']"
 , ,Individual Study or Research, , ,TIM198,"[u'Intended for majors. Students submit petition to sponsoring agency. May be repeated for credit. The Staff', u'5 Credits']"
 , ,Introduction to Optimization in Business, , ,TIM204,"[u'Covers optimization with emphasis on problems arising in management. Students become proficient at mathematical modeling of business decisions and familiar with a range of techniques and tools used to solve optimization problems.', u'5 Credits']"
 , ,Senior Thesis Research, , ,TIM195,"[u'Intended for majors. Students submit petition to sponsoring agency. The Staff', u'5 Credits']"
 , ,Group Tutorial, , ,TIM194F,"[u'A program of independent study arranged between a group of students and a faculty member. Students submit petition to sponsoring agency. May be repeated for credit. The Staff', u'2 Credits']"
 , ,Field Study, , ,TIM193,"[u'Provides individual programs of study with specific academic objectives carried out under direction of faculty member of Information Systems Management and a willing sponsor at field site. Uses resources not normally available on campus. Credit based on presentation of evidence of achieving objectives by submitting written and oral presentation. Students submit petition to sponsoring agency. May be repeated for credit. The Staff', u'5 Credits']"
 , ,Senior Thesis Research, , ,TIM195F,"[u'Intended for majors. Students submit petition to sponsoring agency. The Staff', u'2 Credits']"
 , ,Group Tutorial, , ,TIM194,"[u'A program of independent study arranged between a group of students and a faculty member. Students submit petition to sponsoring agency. May be repeated for credit. The Staff', u'5 Credits']"
 , ,Field Study, , ,TIM193F,"[u'Provides individual programs of study with specific academic objectives carried out under direction of faculty member of Information Systems Management and a willing sponsor at field site. Uses resources not normally available on campus. Credit based on presentation of evidence of achieving objectives by submitting written and oral presentation. Cannot normally be repeated for credit. Students submit petition to sponsoring agency. May be repeated for credit. The Staff', u'2 Credits']"
 , ,Business Strategy and Information Systems, ,[u'Section 01'],TIM158,"[u'Analysis of effective use of information systems within a business enterprise, with emphasis on gaining a competitive advantage. Integration of information systems with business strategy, financial justification, personnel, and organizational considerations are highlighted. Intended for information system management majors or senior engineering majors who have a business interest. Prerequisite(s): satisfaction of the Entry Level Writing and Composition requirements; course 50 or permission of instructor. (General Education Code(s): W.) K. Ross', u'5 Credits']"
 , ,Financial Engineering & Management in High Technology Firms, , ,TIM130,"[u'Address methods and tools for financing technology development and projects.  Includes approaches for coordinating finance and accounting with strategy and operations of firm, discounted cash flow analysis, activity based costing, finanical planning, elements of financial accounting, and investment science.  Taught in conjunction with ISM 230.  Prerequisite(s):  Economics 113 or Applied Mathematics and Statistics 131 or Computer Engineering 107 or by consent of instructor.  Staff', u'5 Credits']"
 , ,Tutorial, , ,TIM99F,"[u'Students submit petition to sponsoring agency. May be repeated for credit. The Staff', u'2 Credits']"
 , ,Group Tutorial, , ,TIM94F,"[u'A means for a small group of students to study a particular topic in consultation with a faculty sponsor. Students submit petition to sponsoring agency. May be repeated for credit. The Staff', u'2 Credits']"
 , ,Group Tutorial, , ,TIM94,"[u'A means for a small group of students to study a particular topic in consultation with a faculty sponsor. Students submit petition to sponsoring agency. May be repeated for credit. The Staff', u'5 Credits']"
 ,[u'Section 01'],Management of Technology II, , ,TIM125,"[u'High-technology enterprises must understand and operate effectively within their technology-business value chains in order to maximize profitability. This course develops and applies methods and tools for the design, optimization, selection, and management of these value chain networks. Students who receive credit for course 225 cannot also receive credit for this course. Prerequisite(s): course 105. R. Akella, S. Desa', u'5 Credits']"
 , ,Tutorial, , ,TIM99,"[u'Students submit petition to sponsoring agency. May be repeated for credit. The Staff', u'5 Credits']"
 ,[u'Section 01'],Management of Technology Seminar,[u'Section 01'],[u'Section 01'],TIM101,"[u'Uses weekly talks by leading industry practitioners and university researchers to provide in-depth exposure to the management of technology. Topics covered include product development, operations, strategy, finance, and marketing for technologies such as software and information systems. May be repeated for credit. S. Desa', u'2 Credits']"
 , ,Management of Technology I,[u'Section 01'], ,TIM105,"[u'An in-depth examination of technological, strategic, marketing, and financial methods and analytical tools for the management of technology to enable cost-effective and rapid development of profitable and high quality technologies. Includes case studies and a comprehensive project. Students who receive credit for course 205 cannot also receive credit for this course. Prerequisite(s): Mathematics 19B or 11B or Applied Mathematics and Statistics 11B or Economics 11B. S. Desa', u'5 Credits']"
 , ,Starting a New Technology Company, ,[u'Section 01'],TIM80C,"[u'Focuses on the creation and management of technology start-ups and small companies, using case studies and team projects as the basis for learning and applying the course materials. (General Education Code(s): T7-Natural Sciences or Social Sciences.)  R. Akella, S. Desa', u'5 Credits']"
 , ,Technology Value Chain Networks, , ,TIM80B,[]
 , ,"Development, Management, and Commercialization of Technology", , ,TIM80A,[]
 ,[u'Section 01'],Business Information Systems,[u'Section 01'],[u'Section 01'],TIM50,"[u'Addresses the use of information systems (IS) within a business enterprise. Subjects include computer hardware and software concepts, system design and implementation, telecommunications, data management, transaction-based systems, management information systems, and the use of IS to compete. Intended for information system management and business management economics majors.  J. Musacchio, K. Ross', u'5 Credits']"
 , ,Advanced Topics in Technology & Information Management, ,[u'Section 01'],ISM293,"[u'Advanced research topics in TIM (as determined by instructor). Topics include, but are not limited to, approaches and solutions to complex business problems, and development of information-based technology and services.  Enrollment restricted to graduate students.  Enrollment limited to 25.  May be repeated for credit.  P. Mantey, The Staff', u'5 Credits']"
 , ,Thesis Research, , ,ISM299,"[u'Thesis research under faculty supervision. Students submit petition to sponsoring agency. Enrollment restricted to graduate students.', u'5 Credits']"
 ,[u'Section 01'],Seminar Topics, , ,ISM280S,"[u'Weekly seminar series of current research on a special topic in information systems and technology management. The theme of research presented throughout the course selected by the instructor. Topics may include, but are not limited to, knowledge planning, new product development and management of technology. Enrollment with permission of instructor. Enrollment limited to 30. May be repeated for credit. P. Mantey', u'2 Credits']"
 , ,Systems Analysis and Design, ,[u'Section 01'],TIM58,"[u'Students learn how information technology is used to deal with business requirements and/or solve business problems. Provides an understanding of structured computer systems analysis and design methodologies and techniques and their application to business information systems. Intended for information systems management and business management economics majors. Prerequisite(s): course 50. Enrollment limited to 40. Y. Zhang', u'5 Credits']"
 , ,Independent Study, , ,ISM297,"[u'Independent study under faculty supervision. Students submit petition to sponsoring agency. Enrollment restricted to graduate students. May be repeated for credit.  The Staff', u'1 Credits']"
 , ,Sales and Marketing for Technologists and Engineers, , ,ISM280M,"[u'Perspective on the theory, plus examples, and tools useful to technologists and engineers for successfully guiding and supporting sales and marketing endeavors and, thereby, ensuring funding, staffing, product appeal, positive customer relationships, and marketplace success.  P. Mantey, The Staff', u'2 Credits']"
 , ,Graduate Research Seminar, ,[u'Section 01'],ISM280A,"[u'Weekly seminar series in topics of current research in information systems and technology management. Enrollment by permission of instructor. Enrollment limited to 30. May be repeated for credit. The Staff', u'2 Credits']"
 , ,Information Retrieval,"[u'Section 01', u'Section 50']", ,ISM260,"[u'Course covers major topics of information retrieval, including statistical characteristics of text, several important retrieval models, text clustering, text classification, text filtering, web analysis, information extraction, peer to peer research, distributed search, personalized search, and other related topics. Enrollment restricted to graduate students. Undergraduates may enroll with permission of instructor. Y. Zhang', u'5 Credits']"
 ,"[u'Section 01', u'Section 50']",Seminar on Information Retrieval and Knowledge Management, ,[u'Section 01'],ISM280I,"[u'Seminar series discussing advanced topics in information retrieval and knowledge management. Current research and literature are presented during each meeting. Enrollment restricted to graduate students. Enrollment limited to 20. May be repeated for credit. Y. Zhang', u'2 Credits']"
 ,"[u'Section 01', u'Section 50']",Stochastic Optimization in Business Intelligence: Digital Advertising and Online Marketing, , ,ISM250,"[u'Trains students in stochastic optimization and other algorithmic approaches, such as stochastic dynamic programming, to achieve business intelligence (BI) optimization. Special emphasis on digital advertising, and online and computational marketing. Students should have solid background in: probability equivalent to statistics, stochastic methods, calculus, liner algebra, mathematical maturity, stochastic processes, and optimization. First of a sequence of courses in information systems and technology management (ISTM). Provides students with systematic methodology and corresponding set of methods and analytical tools to address the field of ISTM in an integrated manner. (Formerly Stochastic Optimization in Information Systems and Technology.)Enrollment restricted to graduate students; undergraduates may enroll if they have completed Computer Engineering 107 or Applied Mathematics or Statistics 131 or have permission of instructor. Applied Mathematics or Statistics 205A and Computer Engineering 230 are recommended. R. Akella', u'5 Credits']"
 , ,Large-Scale Web Analytics and Machine Learning, ,"[u'Section 01', u'Section 50']",ISM251,"[u'Provides a systematic methodology and corresponding set of methods and analytical tools in stochastic models; reinforcement learning; stochastic (neuro-)dynamic programming; Bayesian graphical models; inference; and social networks used for web analytics and machine learning to achieve business intelligence (BI) and support research and applications in computer science, computer engineering, and electrical engineering, applied mathematics and statistics, business, management, and economics. Includes exposure to Hadoop for large-scale computation. Students should have solid background in probability equivalent to statistics, stochastic, methods, calculus, (and preferably) stochastic processes and optimization, or mathematical maturity and exposure to business intelligence and algorithms. (Formerly Information Systems and Technology Management 2.) Prerequisite(s): Computer Engineering 107 or Applied Mathematics and Statistics 131, or other undergraduate probability course recommended, or permission of instructor. Enrollment restricted to graduate students. AMS 205B, CMPE 230, and course ISM 250 recommended.  R. Akella', u'5 Credits']"
 , ,Data Mining, ,"[u'Section 50', u'Section 01']",ISM245,"[u'Covers the principles, algorithms, and applications of data mining, including mining sequential data, structured data, stream data, text data, spatiotemporal data, biomedical data, and other forms of complex data. Enrollment restricted to graduate students. Y. Zhang, R. Akella', u'5 Credits']"
 ,"[u'Section 01', u'Section 50']",Service Engineering and Management, , ,ISM270,"[u'Introduction to service engineering and management, from the role of services in the global economy to analytical models in service operations management. This field is developing rapidly; the material covers the fundamental principles of services as well as recent research. Topics include designing efficient service networks, forecasting, resource allocation, and globalization. Enrollment restricted to graduate students. K. Ross, The Staff', u'5 Credits']"
 , ,Financial Engineering and Management in High Technology Firms, ,"[u'Section 01', u'Section 50']",ISM230,"[u'Course provides students with a systematic methodology, and the corresponding set of methods and analytical tools, to address the field of financial engineering and its use in high-tech enterprises in an integrated manner. Covers basic concepts of stochastic optimization and other algorithmic approaches, such as stochastic dynamic programming; decision models and analysis; and binomial trees; and their application in financial engineering in the context of high-tech enterprises.  Prerequisite(s):  Computer Engineering 107 or Economics 113 or Applied Mathematics and Statistics 131 or by consent of instructor.', u'5 Credits']"
 , ,Information Technology for Decision Support: an Introduction, , ,ISM240,"[u'Introduction to the information technologies useful to IT management. Reviews/surveys four major topics: 1) information systems: from computer technology - systems architecture (hardware and software), multiprocessors and cluster - to client-server, networking and distributed computing, data storage and data servers, file management, database systems, input/output technology, graphics and multimedia; 2) IT as a ""service"": commercial and open-course tools for information-system development and knowledge management; 3) managing, searching, and mining of structured and unstructured data; 4) decision-support systems that integrate knowledge with data mining and text mining tools to support decision-making in product development, supply-chain management, marketing, sales and logistics.  Enrollment restricted to graduate students.  The Staff, Y. Zhang, P. Mantey', u'5 Credits']"
 ,[u'Section 01'],Management of Technology II, , ,ISM225,"[u'High technology enterprises must understand and operate effectively within their technology-business value chains in order to maximize profitability. Course develops and applies methods and tools for the design, optimization, selection, and management of these value chain networks. Students cannot receive credit for this course and course 125. Prerequisite(s): course 205 or consent of instructor. Enrollment restricted to juniors, seniors, and graduate students. R. Akella, S. Desa', u'5 Credits']"
 , ,Organizations and Leadership, , ,ISM215,"[u'Addresses organizational and managerial aspects of high-tech enterprises, providing an understanding of various corporate functions. Considers issues of human resources: motivation and rewards, group dynamics, communication, ethics, and leadership. Includes perspectives from behavioral theories and corporate practice/culture. Enrollment restricted to graduate students. P. Mantey', u'5 Credits']"
 , ,Marketing Analytics and Engineering, , ,ISM210,"[u'Provides students with a systematic methodology and the corresponding set of methods and analytical tools to address the analytic approaches to marketing in a real-world context. Trains students in the basic elements of statistics decision trees, stochastic optimization, and other algorithmic approaches. Students should have a solid background in the following: probability equivalent to statistics, stochastic methods, calculus, linear algebra, stochastic processes and optimization, and/or mathematical maturity. Recommended courses:  course 207, course 250, Applied Mathematics and Statistics 203,  Applied Mathematics and Statistics 205, Computer Engineering 230. Enrollment restricted to graduate students.  Pre-requisite(s):  permission of instructor.  R. Akella', u'5 Credits']"
 , ,New Product Development, , ,ISM208,[]
 ,[u'Section 01'],E-Business Technology and Strategy, , ,ISM211,"[u'Surveys structure of modern information technology, the relation of that structure to structure of the industry that creates it, and the economic forces that drive the players in the industry. Building on these technological and economic concepts, studies how firms can craft a technology and business strategy to create and capture value in the information technology product and/or services sectors. Enrollment restricted to graduate students. J. Musacchio', u'5 Credits']"
 , ,Data Mining and Business Analytics in Knowledge Services,[u'Section 01'], ,ISM209,"[u'Provides students with systematic methodology and analytical tools in data and text mining and business analytics. Also provides an integrated perspective and examines use of these methods in the field of knowledge services, such as online marketing, sponsored search, health care, financial services, recommender systems, etc. Includes training in the basic elements of stochastic optimization and other algorithmic approaches, such as stochastic dynamic programming, statistics, constrained optimization, and machine learning with exposure to software tools. These methods enable firms to achieve rapid, effective, and profitable optimization of knowledge-services management.  (Formerly Knowledge Services and Data Analytics.) Enrollment restricted to graduate students. Students are expected to have undergraduate preparation in probability and statistics. Undergraduates may enroll with instructor approval.  R. Akella', u'5 Credits']"
 , ,Random Process Models in Engineering, ,"[u'Section 01', u'Section 50']",ISM207,"[u'A first graduate course in stochastic process modeling and analysis with an emphasis on applications in technology management, information systems design, and engineering. Enrollment restricted to graduate students. Prerequisite: Computer Engineering 107 or other undergraduate probability course recommended. J. Musacchio', u'5 Credits']"
 , ,Individual Study or Research, , ,ISM198,"[u'Intended for majors. Students submit petition to sponsoring agency. May be repeated for credit. The Staff', u'5 Credits']"
 , ,Senior Thesis Research, , ,ISM195F,"[u'Intended for majors. Students submit petition to sponsoring agency. The Staff', u'2 Credits']"
 , ,Management of Technology I,"[u'Section 01', u'Section 50']", ,ISM205,"[u'Addresses technological, strategic, marketing, financial methods, and analytical tools for management of technology in an integrated manner that enables the cost-effective and rapid development of profitable and high quality technologies. Includes case studies and a comprehensive project. Students cannot receive credit for this course and course 105. Enrollment restricted to juniors, seniors, and graduate students. R. Akella, S. Desa', u'5 Credits']"
